# Title : Technical directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all technical files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20200329162202
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,institution,date_update
aoml/1900539/1900539_tech.nc,AO,20160421201312
aoml/1900560/1900560_tech.nc,AO,20190226210132
aoml/1900561/1900561_tech.nc,AO,20190226210053
aoml/1900562/1900562_tech.nc,AO,20190226210152
aoml/1900563/1900563_tech.nc,AO,20190226210208
aoml/1900564/1900564_tech.nc,AO,20160421201557
aoml/1900565/1900565_tech.nc,AO,20181017200144
aoml/1900566/1900566_tech.nc,AO,20190226210159
aoml/1900567/1900567_tech.nc,AO,20190226210231
aoml/1900568/1900568_tech.nc,AO,20160421202024
aoml/1900569/1900569_tech.nc,AO,20160421202020
aoml/1900570/1900570_tech.nc,AO,20160421202024
aoml/1900571/1900571_tech.nc,AO,20160421201642
aoml/1900572/1900572_tech.nc,AO,20160421201646
aoml/1900573/1900573_tech.nc,AO,20190226210235
aoml/1900575/1900575_tech.nc,AO,20181017200250
aoml/1900576/1900576_tech.nc,AO,20160421202036
aoml/1900577/1900577_tech.nc,AO,20181017200539
aoml/1900578/1900578_tech.nc,AO,20160421202756
aoml/1900579/1900579_tech.nc,AO,20160421202805
aoml/1900580/1900580_tech.nc,AO,20160421203435
aoml/1900581/1900581_tech.nc,AO,20160421203440
aoml/1900582/1900582_tech.nc,AO,20190226210307
aoml/1900583/1900583_tech.nc,AO,20160421203449
aoml/1900584/1900584_tech.nc,AO,20160421203452
aoml/1900635/1900635_tech.nc,AO,20190226210300
aoml/1900636/1900636_tech.nc,AO,20190226210304
aoml/1900637/1900637_tech.nc,AO,20190226210257
aoml/1900638/1900638_tech.nc,AO,20160421203414
aoml/1900639/1900639_tech.nc,AO,20190226210317
aoml/1900640/1900640_tech.nc,AO,20160421201631
aoml/1900641/1900641_tech.nc,AO,20190226210212
aoml/1900642/1900642_tech.nc,AO,20160421201633
aoml/1900643/1900643_tech.nc,AO,20190226210215
aoml/1900644/1900644_tech.nc,AO,20160421203515
aoml/1900645/1900645_tech.nc,AO,20190226210332
aoml/1900646/1900646_tech.nc,AO,20190226210321
aoml/1900647/1900647_tech.nc,AO,20160421202734
aoml/1900648/1900648_tech.nc,AO,20160421202757
aoml/1900649/1900649_tech.nc,AO,20181017200549
aoml/1900683/1900683_tech.nc,AO,20181017200546
aoml/1900684/1900684_tech.nc,AO,20181017200535
aoml/1900685/1900685_tech.nc,AO,20181017200542
aoml/1900686/1900686_tech.nc,AO,20181017200531
aoml/1900687/1900687_tech.nc,AO,20160421203711
aoml/1900688/1900688_tech.nc,AO,20190226210345
aoml/1900689/1900689_tech.nc,AO,20160421203706
aoml/1900690/1900690_tech.nc,AO,20190226210341
aoml/1900691/1900691_tech.nc,AO,20160421205145
aoml/1900692/1900692_tech.nc,AO,20181017201507
aoml/1900693/1900693_tech.nc,AO,20181017201511
