# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_056.nc,20180703120120,-6.837,6.050,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083744
coriolis/3902131/profiles/BR3902131_057.nc,20180705115820,-6.771,6.049,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083745
coriolis/3902131/profiles/BR3902131_058.nc,20180707114720,-6.750,6.002,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083745
coriolis/3902131/profiles/BR3902131_059.nc,20180709114120,-6.721,5.946,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083747
coriolis/3902131/profiles/BR3902131_060.nc,20180711120140,-6.706,5.935,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083748
coriolis/3902131/profiles/BR3902131_061.nc,20180713114920,-6.699,5.917,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083749
coriolis/3902131/profiles/BR3902131_062.nc,20180715115620,-6.709,5.895,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083750
coriolis/3902131/profiles/BR3902131_063.nc,20180717114720,-6.740,5.845,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083751
coriolis/3902131/profiles/BR3902131_064.nc,20180719120820,-6.739,5.816,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083751
coriolis/3902131/profiles/BR3902131_065.nc,20180721115040,-6.728,5.773,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083752
coriolis/3902131/profiles/BR3902131_066.nc,20180723120420,-6.730,5.760,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083753
coriolis/3902131/profiles/BR3902131_067.nc,20180802115220,-6.809,5.710,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083754
coriolis/3902131/profiles/BR3902131_068.nc,20180812114620,-6.782,5.660,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083755
coriolis/3902131/profiles/BR3902131_069.nc,20180822120420,-6.808,5.665,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083756
coriolis/3902131/profiles/BR3902131_070.nc,20180901115840,-6.854,5.701,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083757
coriolis/3902131/profiles/BR3902131_071.nc,20180911120320,-7.043,5.811,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083758
coriolis/3902131/profiles/BR3902131_072.nc,20180921115420,-7.188,6.031,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083759
coriolis/3902131/profiles/BR3902131_073.nc,20181001115720,-7.158,6.239,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083801
coriolis/3902131/profiles/BR3902131_074.nc,20181011120420,-6.982,6.307,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083802
coriolis/3902131/profiles/BR3902131_075.nc,20181021115040,-6.942,6.180,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083803
coriolis/3902131/profiles/BR3902131_076.nc,20181031115720,-6.930,6.101,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083804
coriolis/3902131/profiles/BR3902131_077.nc,20181110120620,-7.127,6.011,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083805
coriolis/3902131/profiles/BR3902131_078.nc,20181120115420,-7.403,5.895,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083806
coriolis/3902131/profiles/BR3902131_079.nc,20181130120220,-7.615,5.813,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083807
coriolis/3902131/profiles/BR3902131_080.nc,20181210120340,-7.668,5.743,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083808
coriolis/3902131/profiles/BR3902131_081.nc,20181220121020,-7.405,5.646,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083810
coriolis/3902131/profiles/BR3902131_082.nc,20181230115920,-7.038,5.494,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083810
coriolis/3902131/profiles/BR3902131_083.nc,20190109120820,-6.718,5.378,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083811
coriolis/3902131/profiles/BR3902131_084.nc,20190119120220,-6.570,5.255,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083812
coriolis/3902131/profiles/BR3902131_085.nc,20190129120740,-6.640,5.243,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083813
coriolis/3902131/profiles/BR3902131_086.nc,20190208120620,-6.930,5.245,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083814
coriolis/3902131/profiles/BR3902131_087.nc,20190218120720,-7.224,5.225,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083815
coriolis/3902131/profiles/BR3902131_088.nc,20190228120920,-7.421,5.250,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083816
coriolis/3902131/profiles/BR3902131_089.nc,20190310120720,-7.455,5.394,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083817
coriolis/3902131/profiles/BR3902131_090.nc,20190320120240,-7.328,5.546,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083818
